title,author,category,isbn,availability_status
Clean Code,Robert C. Martin,Programming,978-786579303,Available
The Pragmatic Programmer,David Thomas,Programming,978-362950628,Available
Sapiens,Yuval Noah Harari,History,978-826600539,Available
Atomic Habits,James Clear,SELF-HELP,978-734036506,Available
Deep Learning,Ian Goodfellow,AI/ML,978-334760738,Available
The Lean Startup,Eric Ries,Business,978-702632297,Available
To Kill a Mockingbird,Harper Lee,Fiction,978-685126461,Available
1984,George Orwell,FICTION,978-398704996,Available
Steve Jobs,Walter Isaacson,Biography,978-965241839,Available
Cosmos,Carl Sagan,Science,978-398362082,Available
The Design of Everyday Things,Don Norman,Non-Fiction,978-461415646,Available
Hands-On ML,Aurélien Géron,AI/ML,978-485451171,Available
 Linear Algebra Done Right,Sheldon Axler,Mathematics,978-966647391,Available
The Code Book,Simon Singh,Non-Fiction,978-234031070,Available
Refactoring,Martin Fowler,Programming,978-692749116,Available
Pride and Prejudice,Jane Austen,Fiction,978-488302652,Available
The Innovators,Walter Isaacson,Biography,978-149203558,Available
A Brief History of Time,Stephen Hawking,Science,978-185675980,Available
Designing Data-Intensive Apps,Martin Kleppmann,Programming,978-508157429,Available
Calculus,James Stewart,Mathematics,978-491735568,Available
The Power of Habit,Charles Duhigg,Self-Help,978-819595113,Available
Educated,Tara Westover,Biography,978-795822698,Available
Zero to One,Peter Thiel,Business,978-673528321,Available
The Selfish Gene,Richard Dawkins,Science,978-507437181,Available
Effective Java,Joshua Bloch,Programming,978-838908273,Available
Crime and Punishment,Fyodor Dostoevsky,Fiction,978-924970419,Available
Mindset,Carol Dweck,Self-Help,978-134467368,Available
Outliers,Malcolm Gladwell,Non-Fiction,978-171069472,Available
Pattern Recognition,Christopher Bishop,AI/ML,978-870854579,Available
Brave New World,Aldous Huxley,Fiction,978-524806516,Available
