book_id,borrower_id,borrow_date,return_date
6,15,2024-01-02 00:00:00,
29,24,2024-05-14 00:00:00,
25,6,2024-09-16 00:00:00,
28,21,2024-06-01 00:00:00,
17,20,2024-04-11 00:00:00,2024-05-30 00:00:00
6,18,2025-02-02 00:00:00,
30,1,2024-11-02 00:00:00,2024-11-04 00:00:00
4,30,2024-07-04 00:00:00,
27,26,2024-06-06 00:00:00,2024-06-22 00:00:00
29,19,2024-02-10 00:00:00,2024-03-13 00:00:00
27,3,2025-01-24 00:00:00,2025-02-02 00:00:00
5,22,2024-08-31 00:00:00,
6,9,2024-09-27 00:00:00,
14,7,2024-10-03 00:00:00,
23,7,2024-12-31 00:00:00,2025-02-12 00:00:00
21,12,2024-08-12 00:00:00,
15,4,2024-05-06 00:00:00,2024-05-28 00:00:00
1,19,2024-10-10 00:00:00,2024-10-25 00:00:00
1,3,2024-12-28 00:00:00,2025-01-12 00:00:00
3,29,2024-01-17 00:00:00,
3,17,2024-05-01 00:00:00,2024-06-02 00:00:00
7,18,2024-03-08 00:00:00,
29,19,2024-10-22 00:00:00,2024-12-12 00:00:00
16,26,2024-07-27 00:00:00,2024-08-03 00:00:00
22,14,2024-06-30 00:00:00,2024-07-30 00:00:00
28,24,2024-01-28 00:00:00,2024-03-10 00:00:00
4,2,2024-07-25 00:00:00,
26,28,2024-02-25 00:00:00,2024-03-09 00:00:00
18,15,2024-03-12 00:00:00,2024-03-30 00:00:00
15,8,2024-02-08 00:00:00,2024-04-04 00:00:00
28,18,2024-02-20 00:00:00,2024-03-26 00:00:00
27,1,2024-02-17 00:00:00,
28,8,2024-03-26 00:00:00,2024-04-26 00:00:00
7,28,2024-07-24 00:00:00,
6,13,2024-01-02 00:00:00,
9,30,2024-08-20 00:00:00,2024-10-04 00:00:00
24,26,2024-10-11 00:00:00,2024-11-12 00:00:00
5,7,2024-05-31 00:00:00,2024-06-04 00:00:00
19,24,2024-10-04 00:00:00,2024-10-25 00:00:00
2,2,2024-10-26 00:00:00,2024-12-24 00:00:00
28,17,2024-03-21 00:00:00,2024-04-23 00:00:00
3,28,2024-04-05 00:00:00,2024-04-10 00:00:00
22,28,2024-04-30 00:00:00,2024-06-26 00:00:00
19,8,2024-10-23 00:00:00,2024-12-02 00:00:00
3,14,2024-12-02 00:00:00,2025-01-05 00:00:00
11,30,2024-05-13 00:00:00,2024-06-28 00:00:00
11,8,2024-05-15 00:00:00,2024-06-27 00:00:00
21,10,2024-08-22 00:00:00,2024-10-10 00:00:00
30,3,2024-01-05 00:00:00,2024-02-11 00:00:00
4,3,2024-10-02 00:00:00,2024-10-19 00:00:00
5,30,2024-06-27 00:00:00,
29,8,2024-07-08 00:00:00,2024-08-06 00:00:00
27,18,2024-12-26 00:00:00,2025-02-16 00:00:00
21,17,2024-01-05 00:00:00,2024-02-10 00:00:00
10,30,2024-12-05 00:00:00,2025-01-31 00:00:00
5,9,2024-02-29 00:00:00,
24,18,2024-03-20 00:00:00,2024-04-28 00:00:00
7,23,2024-06-24 00:00:00,2024-08-04 00:00:00
28,9,2024-09-15 00:00:00,2024-11-12 00:00:00
30,28,2024-01-27 00:00:00,2024-02-24 00:00:00
27,9,2024-01-23 00:00:00,2024-03-13 00:00:00
5,21,2024-05-14 00:00:00,2024-06-12 00:00:00
18,23,2024-08-06 00:00:00,2024-08-14 00:00:00
3,29,2024-12-19 00:00:00,
18,2,2024-07-08 00:00:00,2024-07-18 00:00:00
14,5,2024-01-22 00:00:00,2024-03-20 00:00:00
30,26,2024-01-21 00:00:00,
7,22,2024-05-07 00:00:00,2024-05-30 00:00:00
